price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus,location
3990000,4050,2,1,2,yes,yes,yes,no,no,0,yes,unfurnished,Downtown Central
3920000,7260,3,2,1,yes,yes,yes,no,no,3,no,furnished,West Greens
3920000,5500,4,1,2,yes,yes,yes,no,no,0,no,semi-furnished,East Expressway
3920000,3000,3,1,2,yes,no,no,no,no,0,no,semi-furnished,Suburban North
3920000,3290,2,1,1,yes,no,no,yes,no,1,no,furnished,West Greens
3920000,3816,2,1,1,yes,no,yes,no,yes,2,no,furnished,East Expressway
3920000,8080,3,1,1,yes,no,no,no,yes,2,no,semi-furnished,Suburban North
3920000,2145,4,2,1,yes,no,yes,no,no,0,yes,unfurnished,Tech Park Cyber City
3885000,3780,2,1,2,yes,yes,yes,no,no,0,no,semi-furnished,East Expressway
3885000,3180,4,2,2,yes,no,no,no,no,0,no,furnished,Suburban North
3850000,5300,5,2,2,yes,no,no,no,no,0,no,semi-furnished,West Greens
3850000,3180,2,2,1,yes,no,yes,no,no,2,no,semi-furnished,East Expressway
3850000,7152,3,1,2,yes,no,no,no,yes,0,no,furnished,Suburban North
3850000,4080,2,1,1,yes,no,no,no,no,0,no,semi-furnished,West Greens
3850000,3850,2,1,1,yes,no,no,no,no,0,no,semi-furnished,East Expressway
3850000,2015,3,1,2,yes,no,yes,no,no,0,yes,semi-furnished,Downtown Central
3850000,2176,2,1,2,yes,yes,no,no,no,0,yes,semi-furnished,Tech Park Cyber City
3836000,3350,3,1,2,yes,no,no,no,no,0,no,unfurnished,East Expressway
3815000,3150,2,2,1,no,no,yes,no,no,0,no,semi-furnished,Suburban North
3780000,4820,3,1,2,yes,no,no,no,no,0,no,semi-furnished,West Greens
3780000,3420,2,1,2,yes,no,no,yes,no,1,no,semi-furnished,East Expressway
3780000,3600,2,1,1,yes,no,no,no,no,0,no,semi-furnished,Suburban North
3780000,5830,2,1,1,yes,no,no,no,no,2,no,unfurnished,West Greens
3780000,2856,3,1,3,yes,no,no,no,no,0,yes,furnished,Riverside Bay
3780000,8400,2,1,1,yes,no,no,no,no,1,no,furnished,Suburban North
3773000,8250,3,1,1,yes,no,no,no,no,2,no,furnished,West Greens
3773000,2520,5,2,1,no,no,yes,no,yes,1,no,furnished,East Expressway
3773000,6930,4,1,2,no,no,no,no,no,1,no,furnished,Suburban North
3745000,3480,2,1,1,yes,no,no,no,no,0,yes,semi-furnished,Tech Park Cyber City
3710000,3600,3,1,1,yes,no,no,no,no,1,no,unfurnished,East Expressway
3710000,4040,2,1,1,yes,no,no,no,no,0,no,semi-furnished,Suburban North
3710000,6020,3,1,1,yes,no,no,no,no,0,no,semi-furnished,West Greens
3710000,4050,2,1,1,yes,no,no,no,no,0,no,furnished,East Expressway
3710000,3584,2,1,1,yes,no,no,yes,no,0,no,semi-furnished,Suburban North
3703000,3120,3,1,2,no,no,yes,yes,no,0,no,semi-furnished,West Greens
3703000,5450,2,1,1,yes,no,no,no,no,0,no,furnished,East Expressway
3675000,3630,2,1,1,yes,no,yes,no,no,0,no,furnished,Suburban North
3675000,3630,2,1,1,yes,no,no,no,yes,0,no,unfurnished,West Greens
3675000,5640,2,1,1,no,no,no,no,no,0,no,semi-furnished,East Expressway
3675000,3600,2,1,1,yes,no,no,no,no,0,no,furnished,Suburban North
3640000,4280,2,1,1,yes,no,no,no,yes,2,no,semi-furnished,West Greens
3640000,3570,3,1,2,yes,no,yes,no,no,0,no,semi-furnished,East Expressway
3640000,3180,3,1,2,no,no,yes,no,no,0,no,semi-furnished,Suburban North
3640000,3000,2,1,2,yes,no,no,no,yes,0,no,furnished,West Greens
3640000,3520,2,2,1,yes,no,yes,no,no,0,no,semi-furnished,East Expressway
3640000,5960,3,1,2,yes,yes,yes,no,no,0,no,unfurnished,Suburban North
3640000,4130,3,2,2,yes,no,no,no,no,2,no,semi-furnished,West Greens
3640000,2850,3,2,2,no,no,yes,no,no,0,yes,unfurnished,Riverside Bay
3640000,2275,3,1,3,yes,no,no,yes,yes,0,yes,semi-furnished,Downtown Central
3633000,3520,3,1,1,yes,no,no,no,no,2,yes,unfurnished,Tech Park Cyber City
3605000,4500,2,1,1,yes,no,no,no,no,0,no,semi-furnished,East Expressway
3605000,4000,2,1,1,yes,no,no,no,no,0,yes,semi-furnished,Downtown Central
3570000,3150,3,1,2,yes,no,yes,no,no,0,no,furnished,West Greens
3570000,4500,4,2,2,yes,no,yes,no,no,2,no,furnished,East Expressway
3570000,4500,2,1,1,no,no,no,no,no,0,no,furnished,Suburban North
3570000,3640,2,1,1,yes,no,no,no,no,0,no,unfurnished,West Greens
3535000,3850,3,1,1,yes,no,no,no,no,2,no,unfurnished,East Expressway
3500000,4240,3,1,2,yes,no,no,no,yes,0,no,semi-furnished,Suburban North
3500000,3650,3,1,2,yes,no,no,no,no,0,no,unfurnished,West Greens
3500000,4600,4,1,2,yes,no,no,no,no,0,no,semi-furnished,East Expressway
3500000,2135,3,2,2,no,no,no,no,no,0,no,unfurnished,Suburban North
3500000,3036,3,1,2,yes,no,yes,no,no,0,no,semi-furnished,West Greens
3500000,3990,3,1,2,yes,no,no,no,no,0,no,semi-furnished,East Expressway
3500000,7424,3,1,1,no,no,no,no,no,0,no,unfurnished,Suburban North
3500000,3480,3,1,1,no,no,no,no,yes,0,no,unfurnished,West Greens
3500000,3600,6,1,2,yes,no,no,no,no,1,no,unfurnished,East Expressway
3500000,3640,2,1,1,yes,no,no,no,no,1,no,semi-furnished,Suburban North
3500000,5900,2,1,1,yes,no,no,no,no,1,no,furnished,West Greens
3500000,3120,3,1,2,yes,no,no,no,no,1,no,unfurnished,East Expressway
3500000,7350,2,1,1,yes,no,no,no,no,1,no,semi-furnished,Suburban North
3500000,3512,2,1,1,yes,no,no,no,no,1,yes,unfurnished,Tech Park Cyber City
3500000,9500,3,1,2,yes,no,no,no,no,3,yes,unfurnished,Riverside Bay
3500000,5880,2,1,1,yes,no,no,no,no,0,no,unfurnished,Suburban North
3500000,12944,3,1,1,yes,no,no,no,no,0,no,unfurnished,West Greens
3493000,4900,3,1,2,no,no,no,no,no,0,no,unfurnished,East Expressway
3465000,3060,3,1,1,yes,no,no,no,no,0,no,unfurnished,Suburban North
3465000,5320,2,1,1,yes,no,no,no,no,1,yes,unfurnished,Tech Park Cyber City
3465000,2145,3,1,3,yes,no,no,no,no,0,yes,furnished,Riverside Bay
3430000,4000,2,1,1,yes,no,no,no,no,0,no,unfurnished,Suburban North
3430000,3185,2,1,1,yes,no,no,no,no,2,no,unfurnished,West Greens
3430000,3850,3,1,1,yes,no,no,no,no,0,no,unfurnished,East Expressway
3430000,2145,3,1,3,yes,no,no,no,no,0,yes,furnished,Downtown Central
3430000,2610,3,1,2,yes,no,yes,no,no,0,yes,unfurnished,Tech Park Cyber City
3430000,1950,3,2,2,yes,no,yes,no,no,0,yes,unfurnished,Riverside Bay
3423000,4040,2,1,1,yes,no,no,no,no,0,no,unfurnished,Suburban North
3395000,4785,3,1,2,yes,yes,yes,no,yes,1,no,furnished,West Greens
3395000,3450,3,1,1,yes,no,yes,no,no,2,no,unfurnished,East Expressway
3395000,3640,2,1,1,yes,no,no,no,no,0,no,furnished,Suburban North
3360000,3500,4,1,2,yes,no,no,no,yes,2,no,unfurnished,West Greens
3360000,4960,4,1,3,no,no,no,no,no,0,no,semi-furnished,East Expressway
3360000,4120,2,1,2,yes,no,no,no,no,0,no,unfurnished,Suburban North
3360000,4750,2,1,1,yes,no,no,no,no,0,no,unfurnished,West Greens
3360000,3720,2,1,1,no,no,no,no,yes,0,no,unfurnished,East Expressway
3360000,3750,3,1,1,yes,no,no,no,no,0,no,unfurnished,Suburban North
3360000,3100,3,1,2,no,no,yes,no,no,0,no,semi-furnished,West Greens
3360000,3185,2,1,1,yes,no,yes,no,no,2,no,furnished,East Expressway
3353000,2700,3,1,1,no,no,no,no,no,0,no,furnished,Suburban North
3332000,2145,3,1,2,yes,no,yes,no,no,0,yes,furnished,Tech Park Cyber City
3325000,4040,2,1,1,yes,no,no,no,no,1,no,unfurnished,East Expressway
3325000,4775,4,1,2,yes,no,no,no,no,0,no,unfurnished,Suburban North
3290000,2500,2,1,1,no,no,no,no,yes,0,no,unfurnished,West Greens
3290000,3180,4,1,2,yes,no,yes,no,yes,0,no,unfurnished,East Expressway
3290000,6060,3,1,1,yes,yes,yes,no,no,0,no,furnished,Suburban North
3290000,3480,4,1,2,no,no,no,no,no,1,no,semi-furnished,West Greens
3290000,3792,4,1,2,yes,no,no,no,no,0,no,semi-furnished,East Expressway
3290000,4040,2,1,1,yes,no,no,no,no,0,no,unfurnished,Suburban North
3290000,2145,3,1,2,yes,no,yes,no,no,0,yes,furnished,Tech Park Cyber City
3290000,5880,3,1,1,yes,no,no,no,no,1,no,unfurnished,East Expressway
3255000,4500,2,1,1,no,no,no,no,no,0,no,semi-furnished,Suburban North
3255000,3930,2,1,1,no,no,no,no,no,0,no,unfurnished,West Greens
3234000,3640,4,1,2,yes,no,yes,no,no,0,no,unfurnished,East Expressway
3220000,4370,3,1,2,yes,no,no,no,no,0,no,unfurnished,Suburban North
3220000,2684,2,1,1,yes,no,no,no,yes,1,no,unfurnished,West Greens
3220000,4320,3,1,1,no,no,no,no,no,1,no,unfurnished,East Expressway
3220000,3120,3,1,2,no,no,no,no,no,0,no,furnished,Suburban North
3150000,3450,1,1,1,yes,no,no,no,no,0,no,furnished,West Greens
3150000,3986,2,2,1,no,yes,yes,no,no,1,no,unfurnished,East Expressway
3150000,3500,2,1,1,no,no,yes,no,no,0,no,semi-furnished,Suburban North
3150000,4095,2,1,1,yes,no,no,no,no,2,no,semi-furnished,West Greens
3150000,1650,3,1,2,no,no,yes,no,no,0,no,unfurnished,East Expressway
3150000,3450,3,1,2,yes,no,yes,no,no,0,no,semi-furnished,Suburban North
3150000,6750,2,1,1,yes,no,no,no,no,0,no,semi-furnished,West Greens
3150000,9000,3,1,2,yes,no,no,no,no,2,no,semi-furnished,East Expressway
3150000,3069,2,1,1,yes,no,no,no,no,1,no,unfurnished,Suburban North
3143000,4500,3,1,2,yes,no,no,no,yes,0,no,unfurnished,West Greens
3129000,5495,3,1,1,yes,no,yes,no,no,0,no,unfurnished,East Expressway
3118850,2398,3,1,1,yes,no,no,no,no,0,yes,semi-furnished,Downtown Central
3115000,3000,3,1,1,no,no,no,no,yes,0,no,unfurnished,West Greens
3115000,3850,3,1,2,yes,no,no,no,no,0,no,unfurnished,East Expressway
3115000,3500,2,1,1,yes,no,no,no,no,0,no,unfurnished,Suburban North
3087000,8100,2,1,1,yes,no,no,no,no,1,no,unfurnished,West Greens
3080000,4960,2,1,1,yes,no,yes,no,yes,0,no,unfurnished,East Expressway
3080000,2160,3,1,2,no,no,yes,no,no,0,no,semi-furnished,Suburban North
3080000,3090,2,1,1,yes,yes,yes,no,no,0,no,unfurnished,West Greens
3080000,4500,2,1,2,yes,no,no,yes,no,1,no,semi-furnished,East Expressway
3045000,3800,2,1,1,yes,no,no,no,no,0,no,unfurnished,Suburban North
3010000,3090,3,1,2,no,no,no,no,no,0,no,semi-furnished,West Greens
3010000,3240,3,1,2,yes,no,no,no,no,2,no,semi-furnished,East Expressway
3010000,2835,2,1,1,yes,no,no,no,no,0,no,semi-furnished,Suburban North
3010000,4600,2,1,1,yes,no,no,no,no,0,no,furnished,West Greens
3010000,5076,3,1,1,no,no,no,no,no,0,no,unfurnished,East Expressway
3010000,3750,3,1,2,yes,no,no,no,no,0,no,unfurnished,Suburban North
3010000,3630,4,1,2,yes,no,no,no,no,3,no,semi-furnished,West Greens
3003000,8050,2,1,1,yes,no,no,no,no,0,no,unfurnished,East Expressway
2975000,4352,4,1,2,no,no,no,no,no,1,no,unfurnished,Suburban North
2961000,3000,2,1,2,yes,no,no,no,no,0,no,semi-furnished,West Greens
2940000,5850,3,1,2,yes,no,yes,no,no,1,no,unfurnished,East Expressway
2940000,4960,2,1,1,yes,no,no,no,no,0,no,unfurnished,Suburban North
2940000,3600,3,1,2,no,no,no,no,no,1,no,unfurnished,West Greens
2940000,3660,4,1,2,no,no,no,no,no,0,no,unfurnished,East Expressway
2940000,3480,3,1,2,no,no,no,no,no,1,no,semi-furnished,Suburban North
2940000,2700,2,1,1,no,no,no,no,no,0,no,furnished,West Greens
2940000,3150,3,1,2,no,no,no,no,no,0,no,unfurnished,East Expressway
2940000,6615,3,1,2,yes,no,no,no,no,0,no,semi-furnished,Suburban North
2870000,3040,2,1,1,no,no,no,no,no,0,no,unfurnished,West Greens
2870000,3630,2,1,1,yes,no,no,no,no,0,no,unfurnished,East Expressway
2870000,6000,2,1,1,yes,no,no,no,no,0,no,semi-furnished,Suburban North
2870000,5400,4,1,2,yes,no,no,no,no,0,no,unfurnished,West Greens
2852500,5200,4,1,3,yes,no,no,no,no,0,no,unfurnished,East Expressway
2835000,3300,3,1,2,no,no,no,no,no,1,no,semi-furnished,Suburban North
2835000,4350,3,1,2,no,no,no,yes,no,1,no,unfurnished,West Greens
2835000,2640,2,1,1,no,no,no,no,no,1,no,furnished,East Expressway
2800000,2650,3,1,2,yes,no,yes,no,no,1,no,unfurnished,Suburban North
2800000,3960,3,1,1,yes,no,no,no,no,0,no,furnished,West Greens
2730000,6800,2,1,1,yes,no,no,no,no,0,no,unfurnished,East Expressway
2730000,4000,3,1,2,yes,no,no,no,no,1,no,unfurnished,Suburban North
2695000,4000,2,1,1,yes,no,no,no,no,0,no,unfurnished,West Greens
2660000,3934,2,1,1,yes,no,no,no,no,0,no,unfurnished,East Expressway
2660000,2000,2,1,2,yes,no,no,no,no,0,no,semi-furnished,Suburban North
2660000,3630,3,3,2,no,yes,no,no,no,0,no,unfurnished,West Greens
2660000,2800,3,1,1,yes,no,no,no,no,0,no,unfurnished,East Expressway
2660000,2430,3,1,1,no,no,no,no,no,0,no,unfurnished,Suburban North
2660000,3480,2,1,1,yes,no,no,no,no,1,no,semi-furnished,West Greens
2660000,4000,3,1,1,yes,no,no,no,no,0,no,semi-furnished,East Expressway
2653000,3185,2,1,1,yes,no,no,no,yes,0,no,unfurnished,Suburban North
2653000,4000,3,1,2,yes,no,no,no,yes,0,no,unfurnished,West Greens
2604000,2910,2,1,1,no,no,no,no,no,0,no,unfurnished,East Expressway
2590000,3600,2,1,1,yes,no,no,no,no,0,no,unfurnished,Suburban North
2590000,4400,2,1,1,yes,no,no,no,no,0,no,unfurnished,West Greens
2590000,3600,2,2,2,yes,no,yes,no,no,1,no,furnished,East Expressway
2520000,2880,3,1,1,no,no,no,no,no,0,no,unfurnished,Suburban North
2520000,3180,3,1,1,no,no,no,no,no,0,no,unfurnished,West Greens
2520000,3000,2,1,2,yes,no,no,no,no,0,no,furnished,East Expressway
2485000,4400,3,1,2,yes,no,no,no,no,0,no,unfurnished,Suburban North
2485000,3000,3,1,2,no,no,no,no,no,0,no,semi-furnished,West Greens
2450000,3210,3,1,2,yes,no,yes,no,no,0,no,unfurnished,East Expressway
2450000,3240,2,1,1,no,yes,no,no,no,1,no,unfurnished,Suburban North
2450000,3000,2,1,1,yes,no,no,no,no,1,no,unfurnished,West Greens
2450000,3500,2,1,1,yes,yes,no,no,no,0,no,unfurnished,East Expressway
2450000,4840,2,1,2,yes,no,no,no,no,0,no,unfurnished,Suburban North
2450000,7700,2,1,1,yes,no,no,no,no,0,no,unfurnished,West Greens
2408000,3635,2,1,1,no,no,no,no,no,0,no,unfurnished,East Expressway
2380000,2475,3,1,2,yes,no,no,no,no,0,no,furnished,Suburban North
2380000,2787,4,2,2,yes,no,no,no,no,0,no,furnished,West Greens
2380000,3264,2,1,1,yes,no,no,no,no,0,no,unfurnished,East Expressway
2345000,3640,2,1,1,yes,no,no,no,no,0,no,unfurnished,Suburban North
2310000,3180,2,1,1,yes,no,no,no,no,0,no,unfurnished,West Greens
2275000,1836,2,1,1,no,no,yes,no,no,0,no,semi-furnished,East Expressway
2275000,3970,1,1,1,no,no,no,no,no,0,no,unfurnished,Suburban North
2275000,3970,3,1,2,yes,no,yes,no,no,0,no,unfurnished,West Greens
2240000,1950,3,1,1,no,no,no,yes,no,0,no,unfurnished,East Expressway
2233000,5300,3,1,1,no,no,no,no,yes,0,yes,unfurnished,Downtown Central
2135000,3000,2,1,1,no,no,no,no,no,0,no,unfurnished,West Greens
2100000,2400,3,1,2,yes,no,no,no,no,0,no,unfurnished,East Expressway
2100000,3000,4,1,2,yes,no,no,no,no,0,no,unfurnished,Suburban North
2100000,3360,2,1,1,yes,no,no,no,no,1,no,unfurnished,West Greens
1960000,3420,5,1,2,no,no,no,no,no,0,no,unfurnished,East Expressway
1890000,1700,3,1,2,yes,no,no,no,no,0,no,unfurnished,Suburban North
1890000,3649,2,1,1,yes,no,no,no,no,0,no,unfurnished,West Greens
1855000,2990,2,1,1,no,no,no,no,no,1,no,unfurnished,East Expressway
1820000,3000,2,1,1,yes,no,yes,no,no,2,no,unfurnished,Suburban North
1767150,2400,3,1,1,no,no,no,no,no,0,no,semi-furnished,West Greens
1750000,3620,2,1,1,yes,no,no,no,no,0,no,unfurnished,East Expressway
1750000,2910,3,1,1,no,no,no,no,no,0,no,furnished,Suburban North
1750000,3850,3,1,2,yes,no,no,no,no,0,no,unfurnished,West Greens
